I1,I2,N1,N2,N3
0.04805,0.04805,0.46439,0.9319,1.0
2.2538e-05,2.2538e-05,0.0,0.5,1.0
0.00038858,0.00038858,0.0012792,0.97143,1.0
0.0035049,0.0035049,0.0069502,0.97122,1.0
0.013554,0.013554,0.021719,0.97164,1.0
0.028784,0.028784,0.048058,0.96255,1.0
0.040845,0.040845,0.083683,0.93,1.0
0.04623,0.04623,0.1244,0.88815,1.0
0.047768,0.047768,0.1681,0.87102,0.99998
0.04805,0.04805,0.21456,0.88835,0.99989
0.04805,0.04805,0.26407,0.91964,0.99987
0.04805,0.04805,0.3169,0.94404,0.99994
0.04805,0.04805,0.37325,0.96016,0.99995
0.04805,0.04805,0.4332,0.9735,0.99993
0.04805,0.04805,0.48254,0.98375,0.99994
0.04805,0.04805,0.50427,0.98949,0.99998
0.04805,0.04805,0.51004,0.99072,1.0
0.04805,0.04805,0.51438,0.98659,1.0
0.04805,0.04805,0.51751,0.97632,1.0
0.04805,0.04805,0.51959,0.95948,1.0
0.04805,0.04805,0.52081,0.92657,1.0
0.047954,0.047954,0.52132,0.8493,1.0
0.047753,0.047753,0.52128,0.7457,1.0
0.047524,0.047524,0.52085,0.68176,1.0
0.047375,0.047375,0.52018,0.65221,1.0
0.04741,0.04741,0.51941,0.63835,1.0
0.0476,0.0476,0.51867,0.64829,1.0
0.047829,0.047829,0.51805,0.73567,1.0
0.04799,0.04799,0.51766,0.83685,1.0
0.04805,0.04805,0.51755,0.85984,1.0
0.04805,0.04805,0.51768,0.86601,1.0
0.04805,0.04805,0.51795,0.86937,1.0
0.04805,0.04805,0.51819,0.85976,1.0
0.04805,0.04805,0.51827,0.85291,1.0
2.5064e-05,2.5064e-05,0.0,0.5,1.0
0.00043236,0.00043236,0.001363,0.96506,1.0
0.0038583,0.0038583,0.0074008,0.96482,1.0
0.014581,0.014581,0.023051,0.96513,1.0
0.030177,0.030177,0.050634,0.9552,1.0
0.041898,0.041898,0.087369,0.92203,1.0
0.04673,0.04673,0.12883,0.88071,1.0
0.047881,0.047881,0.17304,0.86461,0.99998
0.048039,0.04804,0.21988,0.88491,0.99994
0.04805,0.04805,0.26973,0.91989,0.99994
0.04805,0.04805,0.32292,0.94697,0.99998
0.04805,0.04805,0.37966,0.96548,0.99999
0.04805,0.04805,0.44008,0.97966,0.99999
0.04805,0.04805,0.50427,0.98949,0.99998
0.04805,0.04805,0.55655,0.99497,0.99998
0.04805,0.04805,0.57842,0.99624,0.99999
0.04805,0.04805,0.58291,0.99294,1.0
0.04805,0.04805,0.58596,0.98633,1.0
0.04805,0.04805,0.58775,0.98036,1.0
0.04805,0.04805,0.58846,0.96015,1.0
0.04805,0.04805,0.58827,0.90761,1.0
0.048022,0.048022,0.58734,0.83243,1.0
0.047892,0.047892,0.58586,0.77133,1.0
0.047661,0.047661,0.584,0.69941,1.0
0.047462,0.047462,0.58194,0.63255,1.0
0.047395,0.047395,0.57984,0.61924,1.0
0.047485,0.047485,0.57789,0.61987,1.0
0.04769,0.04769,0.57626,0.68945,1.0
0.04791,0.04791,0.57505,0.77064,1.0
0.04803,0.04803,0.57427,0.80268,1.0
0.04805,0.04805,0.57384,0.83293,1.0
0.04805,0.04805,0.57362,0.84573,1.0
0.04805,0.04805,0.57355,0.85016,1.0
2.7537e-05,2.7537e-05,0.0,0.5,1.0
0.00047515,0.00047515,0.001442,0.95709,1.0
0.0041978,0.0041978,0.0078251,0.95692,1.0
0.015535,0.015535,0.024296,0.95705,1.0
0.031431,0.031431,0.053004,0.94631,1.0
0.042844,0.042844,0.090709,0.9133,1.0
0.047195,0.047195,0.1328,0.87524,1.0
0.047998,0.047998,0.1774,0.86265,0.99998
0.047996,0.047996,0.2245,0.88312,0.99996
0.048006,0.048006,0.27455,0.91844,0.99997
0.04805,0.04805,0.32791,0.94739,0.99999
0.04805,0.04805,0.38485,0.96656,1.0
0.04805,0.04805,0.44553,0.98073,1.0
0.04805,0.04805,0.51004,0.99072,1.0
0.04805,0.04805,0.57842,0.99624,0.99999
0.04805,0.04805,0.63354,0.99747,0.99999
0.04805,0.04805,0.65537,0.99513,1.0
0.04805,0.04805,0.65837,0.99017,1.0
0.04805,0.04805,0.65988,0.98281,1.0
0.04805,0.04805,0.66008,0.9652,1.0
0.04805,0.04805,0.65914,0.94055,1.0
0.04805,0.04805,0.65727,0.93029,1.0
0.04805,0.04805,0.65464,0.91483,1.0
0.047966,0.047966,0.65146,0.82128,1.0
0.047733,0.047733,0.64793,0.69267,1.0
0.047435,0.047434,0.64426,0.63712,1.0
0.04723,0.04723,0.6407,0.61671,1.0
0.047234,0.047234,0.63753,0.59646,1.0
0.047434,0.047434,0.63492,0.59204,1.0
0.047667,0.047666,0.63293,0.65399,1.0
0.047829,0.047829,0.63156,0.73293,1.0
0.047932,0.047931,0.63073,0.7589,1.0
0.047963,0.047963,0.63044,0.76853,1.0
2.9938e-05,2.9938e-05,0.0,0.5,1.0
0.00051664,0.00051664,0.0015163,0.95068,1.0
0.0045212,0.0045212,0.0082239,0.95068,1.0
0.016416,0.016416,0.025456,0.95072,1.0
0.032554,0.032554,0.055184,0.93915,1.0
0.04369,0.04369,0.09374,0.90633,1.0
0.047558,0.047558,0.13636,0.872,1.0
0.04805,0.04805,0.18128,0.86227,0.99998
0.047952,0.047952,0.22856,0.8802,0.99996
0.047867,0.047868,0.27868,0.91444,0.99998
